price,name,desc
"€ 370,70",Samsung Galaxy Note 3 Neo Black,"Android, 5.5 inch, 1920x1080, 8 MPixel, 162.5 gram"
"€ 541,36",Samsung Galaxy S4 Active Blue,"Android, Qualcomm Snapdragon 600 (8064T), 5 inch, 1920x1080, 8 MPixel, 151 gram"
"€ 179,08",Samsung Galaxy Xcover Orange,"Android, Marvell MG2, 3.7 inch, 480x320, 3.0 MPixel, 140 gram"
,Sony Xperia U ST25i White,"Android, ST-Ericsson NovaThor U8500, 3.5 inch, 854x480, 5 MPixel, 110 gram"
,Alcatel One Touch 995 Black,"Android, Qualcomm Snapdragon S2 (MSM8255T), 4.3 inch, 800x480, 5 MPixel, 125 gram"
"€ 617,06",Apple iPhone 5s 16GB Silver,"iOS, Apple A7, 4 inch, 1136x640, 8 MPixel, 112 gram"
"€ 195,47",Archos 50c Oxygen,"Android, MediaTek MT6592, 5 inch, 1280x720, 8 MPixel, 136 gram"
"€ 199,48",Huawei Ascend G620 White,"Android, 5 inch, 1280x720, 8 MPixel, 160 gram"
"€ 362,19",Motorola Moto X Black,"Android, 4.7 inch, 1280x720, 10 MPixel, 130 gram"
"€ 50,11",Nokia 225 Black (dual sim),"2.8 inch, 320x240, 2 MPixel, 100.6 gram"
"€ 261,40",Nokia Lumia 1320 White,"Windows Phone, Qualcomm Snapdragon 400 (8930AB), 6 inch, 1280x720, 5 MPixel, 220 gram"
,,
,OnePlus One 16GB White,"Android, Qualcomm Snapdragon 801 (8974AB), 5.5 inch, 1920x1080, 13 MPixel, 162 gram"
"€ 112,23",Samsung Galaxy Fame White,"Android, Broadcom BCM21654G, 3.5 inch, 480x320, 5 MPixel, 125 gram"
"€ 218,69",Samsung Galaxy S II Plus Blue,"Android, 4.3 inch, 800x480, 8 MPixel, 121 gram"
"€ 222,45",Samsung Galaxy S III Neo Black,"Android, 4.8 inch, 1280x720, 8 MPixel, 132 gram"
"€ 217,58",Sony Xperia M2 Black,"Android, Qualcomm Snapdragon 400 (8926), 4.8 inch, 960x540, 8 MPixel, 148 gram"
"€ 381,28",Sony Xperia Z Black,"Android, Qualcomm Snapdragon S4 Pro (APQ8064), 5 inch, 1920x1080, 13 MPixel, 144 gram"
"€ 591,77",BlackBerry Passport Black,"BlackBerry OS, 4.5 inch, 13 MPixel, 196 gram"
"€ 250,38",HTC Desire 610 Blue,"Android, Qualcomm Snapdragon 400 (8926), 4.7 inch, 960x540, 8 MPixel, 143.5 gram"
"€ 420,00",HTC One Gold,"Android, Qualcomm Snapdragon 600 (8064T), 4.7 inch, 1920x1080, 4.1 MPixel, 145 gram"
,HTC One S Black,"Android, Qualcomm Snapdragon S4 Plus (MSM8260A), 4.3 inch, 960x540, 8 MPixel, 119.2 gram"
"€ 191,75",LG F60 Black,"Android, Qualcomm Snapdragon 410 (8916), 4.5 inch, 800x480, 5 MPixel"
"€ 163,75",LG L70+ Black,"Android, 4.5 inch, 800x480, 8 MPixel, 144 gram"
"€ 252,22",Nokia Lumia 1320 Black,"Windows Phone, 6 inch, 1280x720, 5 MPixel, 220 gram"
